# Calcium fluoride (CaF2) - n, k=0
# Computed from the Sellmeier equation of
#   I. H. Malitson, Appl. Opt. 2, 1103 (1963).
wl_nm,n,k
250,1.467297,0.0
260,1.463912,0.0
270,1.460958,0.0
280,1.458362,0.0
290,1.456067,0.0
300,1.454026,0.0
310,1.452202,0.0
320,1.450564,0.0
330,1.449088,0.0
340,1.447752,0.0
350,1.446538,0.0
360,1.445432,0.0
370,1.444420,0.0
380,1.443493,0.0
390,1.442640,0.0
400,1.441854,0.0
410,1.441127,0.0
420,1.440454,0.0
430,1.439829,0.0
440,1.439248,0.0
450,1.438706,0.0
460,1.438200,0.0
470,1.437727,0.0
480,1.437283,0.0
490,1.436867,0.0
500,1.436476,0.0
510,1.436107,0.0
520,1.435759,0.0
530,1.435431,0.0
540,1.435120,0.0
550,1.434826,0.0
560,1.434548,0.0
570,1.434283,0.0
580,1.434031,0.0
590,1.433792,0.0
600,1.433564,0.0
610,1.433346,0.0
620,1.433139,0.0
630,1.432940,0.0
640,1.432750,0.0
650,1.432568,0.0
660,1.432394,0.0
670,1.432226,0.0
680,1.432066,0.0
690,1.431911,0.0
700,1.431762,0.0
710,1.431619,0.0
720,1.431481,0.0
730,1.431348,0.0
740,1.431219,0.0
750,1.431095,0.0
760,1.430974,0.0
770,1.430858,0.0
780,1.430745,0.0
790,1.430635,0.0
800,1.430529,0.0
810,1.430426,0.0
820,1.430326,0.0
830,1.430229,0.0
840,1.430134,0.0
850,1.430042,0.0
860,1.429952,0.0
870,1.429864,0.0
880,1.429778,0.0
890,1.429695,0.0
900,1.429613,0.0
910,1.429533,0.0
920,1.429455,0.0
930,1.429378,0.0
940,1.429303,0.0
950,1.429230,0.0
960,1.429158,0.0
970,1.429087,0.0
980,1.429018,0.0
990,1.428950,0.0
1000,1.428883,0.0
1010,1.428817,0.0
1020,1.428752,0.0
1030,1.428688,0.0
1040,1.428625,0.0
1050,1.428563,0.0
1060,1.428502,0.0
1070,1.428442,0.0
1080,1.428382,0.0
1090,1.428323,0.0
1100,1.428265,0.0
1110,1.428208,0.0
1120,1.428151,0.0
1130,1.428095,0.0
1140,1.428040,0.0
1150,1.427985,0.0
1160,1.427930,0.0
1170,1.427876,0.0
1180,1.427823,0.0
1190,1.427770,0.0
1200,1.427717,0.0
1210,1.427665,0.0
1220,1.427613,0.0
1230,1.427562,0.0
1240,1.427511,0.0
1250,1.427460,0.0
1260,1.427410,0.0
1270,1.427360,0.0
1280,1.427310,0.0
1290,1.427260,0.0
1300,1.427211,0.0
1310,1.427162,0.0
1320,1.427113,0.0
1330,1.427064,0.0
1340,1.427016,0.0
1350,1.426968,0.0
1360,1.426920,0.0
1370,1.426872,0.0
1380,1.426824,0.0
1390,1.426776,0.0
1400,1.426729,0.0
1410,1.426681,0.0
1420,1.426634,0.0
1430,1.426587,0.0
1440,1.426539,0.0
1450,1.426492,0.0
1460,1.426445,0.0
1470,1.426398,0.0
1480,1.426352,0.0
1490,1.426305,0.0
1500,1.426258,0.0
1510,1.426211,0.0
1520,1.426164,0.0
1530,1.426118,0.0
1540,1.426071,0.0
1550,1.426024,0.0
1560,1.425978,0.0
1570,1.425931,0.0
1580,1.425884,0.0
1590,1.425837,0.0
1600,1.425791,0.0
1610,1.425744,0.0
1620,1.425697,0.0
1630,1.425650,0.0
1640,1.425603,0.0
1650,1.425556,0.0
1660,1.425509,0.0
1670,1.425462,0.0
1680,1.425415,0.0
1690,1.425368,0.0
1700,1.425321,0.0
1710,1.425273,0.0
1720,1.425226,0.0
1730,1.425178,0.0
1740,1.425131,0.0
1750,1.425083,0.0
1760,1.425035,0.0
1770,1.424988,0.0
1780,1.424940,0.0
1790,1.424892,0.0
1800,1.424843,0.0
1810,1.424795,0.0
1820,1.424747,0.0
1830,1.424698,0.0
1840,1.424650,0.0
1850,1.424601,0.0
1860,1.424552,0.0
1870,1.424503,0.0
1880,1.424454,0.0
1890,1.424405,0.0
1900,1.424356,0.0
1910,1.424306,0.0
1920,1.424257,0.0
1930,1.424207,0.0
1940,1.424157,0.0
1950,1.424107,0.0
1960,1.424057,0.0
1970,1.424007,0.0
1980,1.423956,0.0
1990,1.423906,0.0
2000,1.423855,0.0
2010,1.423804,0.0
2020,1.423753,0.0
2030,1.423702,0.0
2040,1.423651,0.0
2050,1.423599,0.0
2060,1.423548,0.0
2070,1.423496,0.0
2080,1.423444,0.0
2090,1.423392,0.0
2100,1.423340,0.0
2110,1.423287,0.0
2120,1.423235,0.0
2130,1.423182,0.0
2140,1.423129,0.0
2150,1.423076,0.0
2160,1.423023,0.0
2170,1.422969,0.0
2180,1.422916,0.0
2190,1.422862,0.0
2200,1.422808,0.0
2210,1.422754,0.0
2220,1.422699,0.0
2230,1.422645,0.0
2240,1.422590,0.0
2250,1.422535,0.0
2260,1.422480,0.0
2270,1.422425,0.0
2280,1.422369,0.0
2290,1.422314,0.0
2300,1.422258,0.0
2310,1.422202,0.0
2320,1.422146,0.0
2330,1.422090,0.0
2340,1.422033,0.0
2350,1.421976,0.0
2360,1.421919,0.0
2370,1.421862,0.0
2380,1.421805,0.0
2390,1.421747,0.0
2400,1.421690,0.0
2410,1.421632,0.0
2420,1.421574,0.0
2430,1.421516,0.0
2440,1.421457,0.0
2450,1.421398,0.0
2460,1.421340,0.0
2470,1.421280,0.0
2480,1.421221,0.0
2490,1.421162,0.0
