# Sapphire (Al2O3, crystalline) - ORDINARY ray - n, k=0
# Computed from the Sellmeier equation of
#   I. H. Malitson and M. J. Dodge, J. Opt. Soc. Am. 62, 1405 (1972).
# Sapphire is birefringent: the extraordinary ray is NOT in this file.
# Same dataset as films/Al2O3.csv.
wl_nm,n,k
250,1.845229,0.0
260,1.837290,0.0
270,1.830399,0.0
280,1.824371,0.0
290,1.819061,0.0
300,1.814354,0.0
310,1.810160,0.0
320,1.806403,0.0
330,1.803023,0.0
340,1.799967,0.0
350,1.797196,0.0
360,1.794672,0.0
370,1.792367,0.0
380,1.790254,0.0
390,1.788311,0.0
400,1.786521,0.0
410,1.784867,0.0
420,1.783334,0.0
430,1.781911,0.0
440,1.780586,0.0
450,1.779350,0.0
460,1.778195,0.0
470,1.777114,0.0
480,1.776099,0.0
490,1.775146,0.0
500,1.774248,0.0
510,1.773401,0.0
520,1.772601,0.0
530,1.771844,0.0
540,1.771127,0.0
550,1.770446,0.0
560,1.769800,0.0
570,1.769184,0.0
580,1.768598,0.0
590,1.768038,0.0
600,1.767503,0.0
610,1.766992,0.0
620,1.766502,0.0
630,1.766032,0.0
640,1.765581,0.0
650,1.765148,0.0
660,1.764730,0.0
670,1.764328,0.0
680,1.763941,0.0
690,1.763567,0.0
700,1.763205,0.0
710,1.762855,0.0
720,1.762516,0.0
730,1.762188,0.0
740,1.761869,0.0
750,1.761560,0.0
760,1.761259,0.0
770,1.760966,0.0
780,1.760681,0.0
790,1.760404,0.0
800,1.760133,0.0
810,1.759868,0.0
820,1.759609,0.0
830,1.759356,0.0
840,1.759109,0.0
850,1.758867,0.0
860,1.758629,0.0
870,1.758396,0.0
880,1.758167,0.0
890,1.757942,0.0
900,1.757721,0.0
910,1.757503,0.0
920,1.757289,0.0
930,1.757079,0.0
940,1.756871,0.0
950,1.756666,0.0
960,1.756463,0.0
970,1.756264,0.0
980,1.756066,0.0
990,1.755871,0.0
1000,1.755678,0.0
1010,1.755487,0.0
1020,1.755298,0.0
1030,1.755111,0.0
1040,1.754925,0.0
1050,1.754741,0.0
1060,1.754558,0.0
1070,1.754377,0.0
1080,1.754197,0.0
1090,1.754018,0.0
1100,1.753840,0.0
1110,1.753664,0.0
1120,1.753488,0.0
1130,1.753313,0.0
1140,1.753139,0.0
1150,1.752966,0.0
1160,1.752794,0.0
1170,1.752622,0.0
1180,1.752451,0.0
1190,1.752280,0.0
1200,1.752110,0.0
1210,1.751940,0.0
1220,1.751771,0.0
1230,1.751602,0.0
1240,1.751434,0.0
1250,1.751265,0.0
1260,1.751097,0.0
1270,1.750929,0.0
1280,1.750761,0.0
1290,1.750594,0.0
1300,1.750426,0.0
1310,1.750258,0.0
1320,1.750091,0.0
1330,1.749923,0.0
1340,1.749756,0.0
1350,1.749588,0.0
1360,1.749420,0.0
1370,1.749252,0.0
1380,1.749084,0.0
1390,1.748916,0.0
1400,1.748747,0.0
1410,1.748578,0.0
1420,1.748410,0.0
1430,1.748240,0.0
1440,1.748071,0.0
1450,1.747901,0.0
1460,1.747731,0.0
1470,1.747560,0.0
1480,1.747389,0.0
1490,1.747218,0.0
1500,1.747046,0.0
1510,1.746874,0.0
1520,1.746702,0.0
1530,1.746529,0.0
1540,1.746356,0.0
1550,1.746182,0.0
1560,1.746007,0.0
1570,1.745832,0.0
1580,1.745657,0.0
1590,1.745481,0.0
1600,1.745304,0.0
1610,1.745127,0.0
1620,1.744950,0.0
1630,1.744772,0.0
1640,1.744593,0.0
1650,1.744413,0.0
1660,1.744233,0.0
1670,1.744053,0.0
1680,1.743871,0.0
1690,1.743689,0.0
1700,1.743507,0.0
1710,1.743324,0.0
1720,1.743140,0.0
1730,1.742955,0.0
1740,1.742770,0.0
1750,1.742584,0.0
1760,1.742397,0.0
1770,1.742210,0.0
1780,1.742022,0.0
1790,1.741833,0.0
1800,1.741643,0.0
1810,1.741453,0.0
1820,1.741262,0.0
1830,1.741070,0.0
1840,1.740877,0.0
1850,1.740684,0.0
1860,1.740490,0.0
1870,1.740295,0.0
1880,1.740099,0.0
1890,1.739903,0.0
1900,1.739705,0.0
1910,1.739507,0.0
1920,1.739308,0.0
1930,1.739109,0.0
1940,1.738908,0.0
1950,1.738707,0.0
1960,1.738504,0.0
1970,1.738301,0.0
1980,1.738097,0.0
1990,1.737893,0.0
2000,1.737687,0.0
2010,1.737481,0.0
2020,1.737273,0.0
2030,1.737065,0.0
2040,1.736856,0.0
2050,1.736646,0.0
2060,1.736435,0.0
2070,1.736223,0.0
2080,1.736011,0.0
2090,1.735797,0.0
2100,1.735583,0.0
2110,1.735367,0.0
2120,1.735151,0.0
2130,1.734934,0.0
2140,1.734716,0.0
2150,1.734497,0.0
2160,1.734277,0.0
2170,1.734056,0.0
2180,1.733835,0.0
2190,1.733612,0.0
2200,1.733388,0.0
2210,1.733164,0.0
2220,1.732938,0.0
2230,1.732712,0.0
2240,1.732484,0.0
2250,1.732256,0.0
2260,1.732027,0.0
2270,1.731797,0.0
2280,1.731565,0.0
2290,1.731333,0.0
2300,1.731100,0.0
2310,1.730866,0.0
2320,1.730631,0.0
2330,1.730395,0.0
2340,1.730158,0.0
2350,1.729919,0.0
2360,1.729680,0.0
2370,1.729440,0.0
2380,1.729199,0.0
2390,1.728957,0.0
2400,1.728714,0.0
2410,1.728470,0.0
2420,1.728225,0.0
2430,1.727979,0.0
2440,1.727732,0.0
2450,1.727484,0.0
2460,1.727235,0.0
2470,1.726985,0.0
2480,1.726734,0.0
2490,1.726482,0.0
