# Crystalline silicon (c-Si) - n, k
# Baseline: Palik, Handbook of Optical Constants of Solids / M. A. Green,
#   Sol. Energy Mater. Sol. Cells 92, 1305 (2008).
# The 362-370 nm nodes resolve the E1 transition at ~367 nm after
#   D. E. Aspnes and A. A. Studna, Phys. Rev. B 27, 985 (1983).
# Do not thin out that region: the E1 position drives the fits on Si.
wl_nm,n,k
250,1.640,3.330
255,1.570,3.348
258,2.100,3.520
262,2.900,3.720
265,3.200,3.820
270,3.620,3.895
275,3.700,3.650
280,3.760,3.410
285,4.100,3.480
290,4.430,3.560
295,4.720,3.540
300,5.000,3.520
310,5.340,3.500
320,5.530,3.470
330,5.570,3.430
340,5.930,3.390
350,6.080,3.340
355,6.220,3.200
358,6.320,3.060
360,6.410,3.090
362,6.510,2.700
364,6.660,2.100
365,6.790,1.500
366,6.900,0.900
367,6.970,0.520
368,7.000,0.430
369,6.780,0.420
370,6.410,0.410
375,5.970,0.395
380,5.650,0.390
385,5.350,0.385
390,5.100,0.382
395,5.060,0.381
400,5.050,0.380
410,4.880,0.360
420,4.730,0.293
430,4.620,0.177
440,4.520,0.113
450,4.430,0.079
460,4.360,0.062
470,4.300,0.050
480,4.250,0.040
490,4.210,0.032
500,4.170,0.024
520,4.120,0.014
550,3.960,0.016
600,3.850,0.009
650,3.800,0.004
700,3.750,0.003
800,3.690,0.001
900,3.614,0.000
1000,3.570,0.000
1200,3.524,0.000
1500,3.495,0.000
2000,3.476,0.000
2500,3.465,0.000
